,0
0,제철소에서 대체 어떤 국민의견을 받아 운영하나? 포퓰리즘이 일상이네.
1,좌파넘들은 제정신이 아니야 ㅋㅋㅋ 사업가가 국민공모 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아이 서울 유다 씨ㅌ발럼
2,"""최 회장 후보가 2000년 민영화 이후 최초 비(非)엔지니어·비서울대 출신답게 파격적인 행보를 보이고 있다는 평가다."" 비 엔지지어가 좋은 건가? 비 서울대 출신인 것이 자랑이던가? 서울대면 어떻고 엔지니어이면 어떤가? 출신이 어떻든 간에 지금 같은 변혁기에서 회사를 더욱 발전시켜야 능력있는 경영자가 된다고 생각한다. 국민의 소리를 듣기 보다는 최고 경영자로서 자신의 비전을 내세우고 그 비전으로 회사원들의 역량을 모으는 것이 더 중요하다."
3,"국민이 포스코에 대해서 뭘 안다고 국민공모제를 해 정신 나간 인간아... 전세계가 비웃고 민주팔이들이 결사반대하고 난리를 침에도 박정희와 박태준 , 포항시민들이 이뤄낸 기적적인 신화가 포스코인데 별 뭣같은 것들이 정권잡을때마다 지네들 해쳐먹는 자리로 만들어쳐놓고... 국민공모제 드립쳐놓고 시민단체 가장한 악질 시민단체들이 햐쳐먹고 망가뜨리지나 않게해라"
4,아놔 문재앙 개3새 끼랑 역인넘들은 하나같이 뭐 저딴 소리하냐.. 기업경영을 국민제안으로 하겠다고? 여기가 무슨 공산국가인줄 아냐..
5,ceo가 아니고 도지사를 뽑았나? 이거 뭐또 잘못뽑은것같구만
6,포스코가 산으로 가겠군 ㅋ 개그콘서튼가ㅋㅋㅋ
7,쓸데없이 사업 다각화한거 정리하고 몇가지 주력사업으로 키우는게 낫지 않나 싶은데. 보수언론이 이명박시절 사업다각화에 아무말 없었다는거에 대해 너무 신기할뿐.그 건전한 포스코가 매번 어렵단 이야기 밖에 안나옴
8,
9,ㅋㅋㅋㅋ 포스코 사업하는데 국민공모를 받으신댄다 ㅋㅋㅋㅋㅋㅋ ㅤㅇㅏㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋ
10,이번 기회에 포스코가 존경받는 회사로 거듭나기를 바랍니다..
11,
12,국민하고 포스코하고 뭔상관이냐?국민이 쇠쳐먹냐? 정말 가지가지들한다ㅜ
13,"자칫 잘못되서 욕먹을만한 사항은 늘 국민의견수렴, 공론화위원에 등에 위임. 물론 겉으로만 위임하고 뒤로는 이니하고싶은대로 다 하고 욕받이만 피함."
14,개방형 혁신은 이런게 아닌데... 이건 그냥 포퓰리즘... ㅉㅉㅉ 한심한 인간...
15,시민단체와 짜고 공개적으로 시민단체에 기부금 많이 주겠네~~~ ㅋㅋㅋ 일반소비제도 아니고 무슨 ~~~ 열심히 퍼 줘라~~ 어차피 정권 바뀌면 또 바뀔텐데~~ 공개적으로 많이 해 드셔~~~ ㅎㅎㅎ
16,근데 왜저것들이 다말아먹을거같은느낌이드냐
17,
18,아직도 503 찌꺼기들이 댓글을다네 언제쯤이면 없어질라나.
19,제철사업하는데 국민공모로 아이디어? 이거 어디서 많이보던 장면 ㅋㅋㅋㅋ
20,대박좋아~!!
21,일자리 많이 만드는게 최고~
22,연봉을 사회에 환원하라
23,
24,국민의소리라?? 아파트좀싸게내놓으시오
25,아 안해 안되 돌아가 어차피 너거들 맘대로 할거니깐 그냥 맘대로해
26,주가폭락 하게 생겼네 ㅋㅋㅋㅋ국민의견수렴은 무슨 ㅋㅋㅋㅋㅋㅋㅋ
27,제정신인가? 국민이 제철소 운영을 뭘 안다고 국민의견을 듣겠습니다. 라는 개소리를 하시는지
28,"구조조정 전문가. 재무통은 사람을 돈으로 계산하는 버릇이 있다. 즉 단기성과에 집착한다. 엔지니어는 기술로 승부하고 판매출신은 시장점유율을 걱정한다. 회사가 어려울때는 재무통. 성장중일때는 기술직이나 마켓팅출신을 뽑아야하는데 포스코는 꺼꾸로간다. 돈만 따지는 자는 발전이 없다. 바꿔라,아님 자진 사퇴해라. 정준양처럼 정권 나부랭이가 운영하면 안된다."
29,본인이 적폐다
30,
31,"국민의견 같은소리하네, 포항에 구름끼는 날이면 온 지역에 포스코에서 나오는 석탄 가스 냄새 때문에 못살겠다. 포스코 당장 폐쇄해라."
32,국민 아이디어 공모? '사원 아이디어 공모'가 아니고 '국민'? 국민이 포스코에 대해 뭘 앎? 정권에 딸랑거리는 짓으로밖에 안 보임. 켕기는 게 많으니 저러는 것 아니겠음? 27일이 기대됨.
33,포스코 무너질때와 외주사 계약원가절감 할 때  100년을 위한 작은 결기를  볼수있어 떠라면.  과거를 보면 미래을 예측 할 수있다는데.
34,고쳐야 할것? 더 잘알톈데  지금까지 그것도 몰랐어??
35,"남의 자금으로 포철은 해서 반인반수 

패거리들만 배터지게 먹고 살고 

얘기  해봐야 너들 끼리끼리 짜고 치고

아베 한테 얘가 해야"
36,"민영화 할때 주식 헐값에 나눠줬더메 

우리 자금으로 벼락부자 된  그지들 

그렇게 살면 죄 받는다  반인반수 패거리들"
